Look up table showing relationship of Lower Super Output Areas (LSOAs) to Wards*,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LSOA CODE,LSOA name,Ward code,WARD *,Local Authority,,,,,,,,,,,,
E01030330,Elmbridge 001A,E05007260,Molesey North,Elmbridge,,,,,,,,,,,,
E01030331,Elmbridge 001B,E05007260,Molesey North,Elmbridge,,,,,,,,,,,,
E01030332,Elmbridge 001C,E05007260,Molesey North,Elmbridge,,,,,,,,,,,,
E01030333,Elmbridge 001D,E05007260,Molesey North,Elmbridge,,,,,,,,,,,,
E01030326,Elmbridge 002A,E05007259,Molesey East,Elmbridge,,,,,,,,,,,,
E01030327,Elmbridge 002B,E05007259,Molesey East,Elmbridge,,,,,,,,,,,,
E01030328,Elmbridge 002C,E05007259,Molesey East,Elmbridge,,,,,,,,,,,,
E01030329,Elmbridge 002D,E05007259,Molesey East,Elmbridge,,,,,,,,,,,,
E01030334,Elmbridge 003A,E05007261,Molesey South,Elmbridge,,,,,,,,,,,,
E01030335,Elmbridge 003B,E05007261,Molesey South,Elmbridge,,,,,,,,,,,,
E01030336,Elmbridge 003C,E05007261,Molesey South,Elmbridge,,,,,,,,,,,,
E01030337,Elmbridge 003D,E05007261,Molesey South,Elmbridge,,,,,,,,,,,,
E01030361,Elmbridge 004A,E05007268,Walton North,Elmbridge,,,,,,,,,,,,
E01030362,Elmbridge 004B,E05007268,Walton North,Elmbridge,,,,,,,,,,,,
E01030363,Elmbridge 004C,E05007268,Walton North,Elmbridge,,,,,,,,,,,,
E01030364,Elmbridge 004D,E05007268,Walton North,Elmbridge,,,,,,,,,,,,
E01030350,Elmbridge 005A,E05007265,Thames Ditton,Elmbridge,,,,,,,,,,,,
E01030351,Elmbridge 005B,E05007265,Thames Ditton,Elmbridge,,,,,,,,,,,,
E01030352,Elmbridge 005C,E05007265,Thames Ditton,Elmbridge,,,,,,,,,,,,
E01030353,Elmbridge 005D,E05007265,Thames Ditton,Elmbridge,,,,,,,,,,,,
E01030322,Elmbridge 006A,E05007258,Long Ditton,Elmbridge,,,,,,,,,,,,
E01030323,Elmbridge 006B,E05007258,Long Ditton,Elmbridge,,,,,,,,,,,,
E01030324,Elmbridge 006C,E05007258,Long Ditton,Elmbridge,,,,,,,,,,,,
E01030325,Elmbridge 006D,E05007258,Long Ditton,Elmbridge,,,,,,,,,,,,
E01030357,Elmbridge 007A,E05007267,Walton Central,Elmbridge,,,,,,,,,,,,
E01030358,Elmbridge 007B,E05007267,Walton Central,Elmbridge,,,,,,,,,,,,
E01030359,Elmbridge 007C,E05007267,Walton Central,Elmbridge,,,,,,,,,,,,
E01030360,Elmbridge 007D,E05007267,Walton Central,Elmbridge,,,,,,,,,,,,
E01030354,Elmbridge 008A,E05007266,Walton Ambleside,Elmbridge,,,,,,,,,,,,
E01030355,Elmbridge 008B,E05007266,Walton Ambleside,Elmbridge,,,,,,,,,,,,
E01030356,Elmbridge 008C,E05007266,Walton Ambleside,Elmbridge,,,,,,,,,,,,
E01030365,Elmbridge 008D,E05007269,Walton South,Elmbridge,,,,,,,,,,,,
E01030368,Elmbridge 008E,E05007269,Walton South,Elmbridge,,,,,,,,,,,,
E01030319,Elmbridge 009A,E05007257,Hinchley Wood,Elmbridge,,,,,,,,,,,,
E01030320,Elmbridge 009B,E05007257,Hinchley Wood,Elmbridge,,,,,,,,,,,,
E01030321,Elmbridge 009C,E05007257,Hinchley Wood,Elmbridge,,,,,,,,,,,,
E01030369,Elmbridge 009D,E05007270,Weston Green,Elmbridge,,,,,,,,,,,,
E01030370,Elmbridge 009E,E05007270,Weston Green,Elmbridge,,,,,,,,,,,,
E01030313,Elmbridge 010A,E05007255,Hersham North,Elmbridge,,,,,,,,,,,,
E01030314,Elmbridge 010B,E05007255,Hersham North,Elmbridge,,,,,,,,,,,,
E01030366,Elmbridge 010C,E05007269,Walton South,Elmbridge,,,,,,,,,,,,
E01030367,Elmbridge 010D,E05007269,Walton South,Elmbridge,,,,,,,,,,,,
E01030338,Elmbridge 011A,E05007262,Oatlands Park,Elmbridge,,,,,,,,,,,,
E01030339,Elmbridge 011B,E05007262,Oatlands Park,Elmbridge,,,,,,,,,,,,
E01030340,Elmbridge 011C,E05007262,Oatlands Park,Elmbridge,,,,,,,,,,,,
E01030341,Elmbridge 011D,E05007262,Oatlands Park,Elmbridge,,,,,,,,,,,,
E01030371,Elmbridge 012A,E05007271,Weybridge North,Elmbridge,,,,,,,,,,,,
E01030372,Elmbridge 012B,E05007271,Weybridge North,Elmbridge,,,,,,,,,,,,
E01030373,Elmbridge 012C,E05007271,Weybridge North,Elmbridge,,,,,,,,,,,,
E01030374,Elmbridge 012D,E05007272,Weybridge South,Elmbridge,,,,,,,,,,,,
E01030375,Elmbridge 012E,E05007272,Weybridge South,Elmbridge,,,,,,,,,,,,
E01030376,Elmbridge 012F,E05007272,Weybridge South,Elmbridge,,,,,,,,,,,,
E01030307,Elmbridge 013A,E05007254,Esher,Elmbridge,,,,,,,,,,,,
E01030308,Elmbridge 013B,E05007254,Esher,Elmbridge,,,,,,,,,,,,
E01030309,Elmbridge 013C,E05007254,Esher,Elmbridge,,,,,,,,,,,,
E01030310,Elmbridge 013D,E05007254,Esher,Elmbridge,,,,,,,,,,,,
E01030311,Elmbridge 014A,E05007255,Hersham North,Elmbridge,,,,,,,,,,,,
E01030312,Elmbridge 014B,E05007255,Hersham North,Elmbridge,,,,,,,,,,,,
E01030315,Elmbridge 014C,E05007256,Hersham South,Elmbridge,,,,,,,,,,,,
E01030316,Elmbridge 014D,E05007256,Hersham South,Elmbridge,,,,,,,,,,,,
E01030317,Elmbridge 014E,E05007256,Hersham South,Elmbridge,,,,,,,,,,,,
E01030318,Elmbridge 014F,E05007256,Hersham South,Elmbridge,,,,,,,,,,,,
E01030296,Elmbridge 015A,E05007251,Claygate,Elmbridge,,,,,,,,,,,,
E01030297,Elmbridge 015B,E05007251,Claygate,Elmbridge,,,,,,,,,,,,
E01030298,Elmbridge 015C,E05007251,Claygate,Elmbridge,,,,,,,,,,,,
E01030299,Elmbridge 015D,E05007251,Claygate,Elmbridge,,,,,,,,,,,,
E01030346,Elmbridge 016A,E05007264,St George`s Hill,Elmbridge,,,,,,,,,,,,
E01030347,Elmbridge 016B,E05007264,St George`s Hill,Elmbridge,,,,,,,,,,,,
E01030348,Elmbridge 016C,E05007264,St George`s Hill,Elmbridge,,,,,,,,,,,,
E01030349,Elmbridge 016D,E05007264,St George`s Hill,Elmbridge,,,,,,,,,,,,
E01030300,Elmbridge 017A,E05007252,Cobham and Downside,Elmbridge,,,,,,,,,,,,
E01030301,Elmbridge 017B,E05007252,Cobham and Downside,Elmbridge,,,,,,,,,,,,
E01030302,Elmbridge 017C,E05007252,Cobham and Downside,Elmbridge,,,,,,,,,,,,
E01030304,Elmbridge 017D,E05007253,Cobham Fairmile,Elmbridge,,,,,,,,,,,,
